cell_id,direction,distance_km,dist_zone,total_new,canopy_loss_ha,trees_lost,co2_loss_kg_yr
412,W,8.620976700826391,6-10km,0,0.0,0.0,0.0
413,W,8.78089481073701,6-10km,0,0.0,0.0,0.0
414,NW,8.965879102367197,6-10km,0,0.0,0.0,0.0
415,NW,9.174413467862752,6-10km,0,0.0,0.0,0.0
416,NW,9.404931519173232,6-10km,1,0.00945,0.756,16.632
417,NW,9.655858909562358,6-10km,0,0.0,0.0,0.0
418,NW,9.925647872174965,6-10km,0,0.0,0.0,0.0
419,NW,10.212803732739019,10-15km,0,0.0,0.0,0.0
420,NW,10.515903883379911,10-15km,0,0.0,0.0,0.0
421,NW,10.833610150154072,10-15km,0,0.0,0.0,0.0
422,NW,11.164675691060532,10-15km,0,0.0,0.0,0.0
423,NW,11.507947587975654,10-15km,0,0.0,0.0,0.0
424,NW,11.862366209514498,10-15km,0,0.0,0.0,0.0
425,NW,12.226962275629543,10-15km,0,0.0,0.0,0.0
426,NW,12.600852387465881,10-15km,0,0.0,0.0,0.0
427,NW,12.983233622320029,10-15km,0,0.0,0.0,0.0
428,NW,13.373377647130809,10-15km,0,0.0,0.0,0.0
429,NW,13.770624680595088,10-15km,0,0.0,0.0,0.0
430,NW,14.174377534652137,10-15km,0,0.0,0.0,0.0
431,NW,14.584095888874561,10-15km,0,0.0,0.0,0.0
432,SW,16.407711994655475,15+km,0,0.0,0.0,0.0
433,SW,15.968590648538706,15+km,0,0.0,0.0,0.0
434,SW,15.533150411350379,15+km,2,0.0297,2.376,52.272
435,SW,15.101709707932777,15+km,0,0.0,0.0,0.0
436,SW,14.674621306994867,10-15km,0,0.0,0.0,0.0
437,SW,14.252276481486891,10-15km,0,0.0,0.0,0.0
438,SW,13.835109660056224,10-15km,0,0.0,0.0,0.0
439,SW,13.423603603608745,10-15km,0,0.0,0.0,0.0
440,SW,13.01829513061731,10-15km,0,0.0,0.0,0.0
441,SW,12.619781397032636,10-15km,0,0.0,0.0,0.0
442,SW,12.228726708448743,10-15km,0,0.0,0.0,0.0
443,SW,11.845869799679729,10-15km,0,0.0,0.0,0.0
444,SW,11.472031455326512,10-15km,0,0.0,0.0,0.0
445,SW,11.10812225864649,10-15km,0,0.0,0.0,0.0
446,SW,10.755150139076358,10-15km,0,0.0,0.0,0.0
447,SW,10.414227235619112,10-15km,0,0.0,0.0,0.0
448,SW,10.08657540080614,10-15km,0,0.0,0.0,0.0
449,SW,9.77352944013493,6-10km,0,0.0,0.0,0.0
450,SW,9.476536926442108,6-10km,0,0.0,0.0,0.0
451,SW,9.197153174719746,6-10km,0,0.0,0.0,0.0
452,SW,8.937029759394008,6-10km,0,0.0,0.0,0.0
453,SW,8.697894878723861,6-10km,0,0.0,0.0,0.0
454,SW,8.481524021210305,6-10km,0,0.0,0.0,0.0
455,W,8.289699881383166,6-10km,0,0.0,0.0,0.0
456,W,8.124161404381423,6-10km,0,0.0,0.0,0.0
457,W,7.9865432400680945,6-10km,0,0.0,0.0,0.0
458,W,7.878308659002517,6-10km,0,0.0,0.0,0.0
459,W,7.8006808502560006,6-10km,0,0.0,0.0,0.0
460,W,7.754579042642311,6-10km,0,0.0,0.0,0.0
461,W,7.740566550945996,6-10km,0,0.0,0.0,0.0
462,W,7.758817237869484,6-10km,0,0.0,0.0,0.0
463,W,7.809104899519361,6-10km,2,0.0189,1.512,33.264
464,W,7.89081705102418,6-10km,0,0.0,0.0,0.0
465,W,8.002991199156137,6-10km,1,0.00945,0.756,16.632
466,W,8.144368762206634,6-10km,0,0.0,0.0,0.0
467,W,8.313459985820819,6-10km,0,0.0,0.0,0.0
468,NW,8.508612773941504,6-10km,0,0.0,0.0,0.0
469,NW,8.72807915511295,6-10km,0,0.0,0.0,0.0
470,NW,8.970074700856946,6-10km,0,0.0,0.0,0.0
471,NW,9.232828090026938,6-10km,0,0.0,0.0,0.0
472,NW,9.51461974757936,6-10km,2,0.0189,1.512,33.264
473,NW,9.813809828097536,6-10km,0,0.0,0.0,0.0
474,NW,10.128856684892941,10-15km,0,0.0,0.0,0.0
475,NW,10.458327406623733,10-15km,0,0.0,0.0,0.0
476,NW,10.800902117192514,10-15km,0,0.0,0.0,0.0
477,NW,11.155373635437336,10-15km,0,0.0,0.0,0.0
478,NW,11.520643877285984,10-15km,0,0.0,0.0,0.0
479,NW,11.895718126632108,10-15km,0,0.0,0.0,0.0
480,NW,12.279698047970085,10-15km,0,0.0,0.0,0.0
481,NW,12.671774088514875,10-15km,0,0.0,0.0,0.0
482,NW,13.071217730242031,10-15km,0,0.0,0.0,0.0
483,NW,13.477373904156192,10-15km,0,0.0,0.0,0.0
484,NW,13.889653766507895,10-15km,0,0.0,0.0,0.0
485,NW,14.307527954000426,10-15km,0,0.0,0.0,0.0
486,SW,16.177840281019492,15+km,0,0.0,0.0,0.0
487,SW,15.7323040448376,15+km,0,0.0,0.0,0.0
488,SW,15.290136198224337,15+km,0,0.0,0.0,0.0
489,SW,14.851637598638302,10-15km,0,0.0,0.0,0.0
490,SW,14.41714305132343,10-15km,0,0.0,0.0,0.0
491,SW,13.987025708254064,10-15km,0,0.0,0.0,0.0
492,SW,13.561702052633246,10-15km,0,0.0,0.0,0.0
493,SW,13.141637529829888,10-15km,3,0.03645,2.9160000000000004,64.15200000000002
494,SW,12.727352881352433,10-15km,0,0.0,0.0,0.0
495,SW,12.319431227435247,10-15km,0,0.0,0.0,0.0
496,SW,11.918525922635876,10-15km,0,0.0,0.0,0.0
497,SW,11.52536917281091,10-15km,0,0.0,0.0,0.0
498,SW,11.140781344709026,10-15km,0,0.0,0.0,0.0
499,SW,10.76568081319771,10-15km,0,0.0,0.0,0.0
500,SW,10.401094066139867,10-15km,0,0.0,0.0,0.0
501,SW,10.048165612375554,10-15km,0,0.0,0.0,0.0
502,SW,9.708167003856252,6-10km,0,0.0,0.0,0.0
503,SW,9.382503982189398,6-10km,0,0.0,0.0,0.0
504,SW,9.072720395605531,6-10km,0,0.0,0.0,0.0
505,SW,8.780497125896302,6-10km,8,0.0756,6.048,133.056
506,SW,8.50764386765865,6-10km,3,0.02835,2.268,49.895999999999994
507,SW,8.256081308947152,6-10km,13,0.12285,9.828,216.21599999999998
508,SW,8.027811219814724,6-10km,0,0.0,0.0,0.0
509,W,7.824872355637491,6-10km,0,0.0,0.0,0.0
510,W,7.6492811285150495,6-10km,0,0.0,0.0,0.0
511,W,7.502957829022707,6-10km,1,0.00945,0.756,16.632
512,W,7.38764174721066,6-10km,0,0.0,0.0,0.0
513,W,7.304801502174198,6-10km,0,0.0,0.0,0.0
514,W,7.255549557904147,6-10km,0,0.0,0.0,0.0
515,W,7.240571371669485,6-10km,0,0.0,0.0,0.0
516,W,7.260079075965796,6-10km,0,0.0,0.0,0.0
517,W,7.313796728807345,6-10km,0,0.0,0.0,0.0
518,W,7.400979461621932,6-10km,0,0.0,0.0,0.0
519,W,7.520463509145318,6-10km,0,0.0,0.0,0.0
520,W,7.670739585817196,6-10km,0,0.0,0.0,0.0
521,NW,7.850039502732431,6-10km,0,0.0,0.0,0.0
522,NW,8.0564256711954,6-10km,0,0.0,0.0,0.0
523,NW,8.287874817860905,6-10km,0,0.0,0.0,0.0
524,NW,8.542349992687585,6-10km,0,0.0,0.0,0.0
525,NW,8.817857891722127,6-10km,0,0.0,0.0,0.0
526,NW,9.112490998604217,6-10km,0,0.0,0.0,0.0
527,NW,9.424455772121778,6-10km,0,0.0,0.0,0.0
528,NW,9.75208905833597,6-10km,0,0.0,0.0,0.0
529,NW,10.09386523601107,10-15km,0,0.0,0.0,0.0
530,NW,10.44839651830794,10-15km,0,0.0,0.0,0.0
531,NW,10.814428519567093,10-15km,0,0.0,0.0,0.0
532,NW,11.190832793222441,10-15km,0,0.0,0.0,0.0
533,NW,11.576597643820026,10-15km,0,0.0,0.0,0.0
534,NW,11.970818159505058,10-15km,0,0.0,0.0,0.0
535,NW,12.37268611939108,10-15km,0,0.0,0.0,0.0
536,NW,12.781480204186423,10-15km,0,0.0,0.0,0.0
537,NW,13.196556771031071,10-15km,0,0.0,0.0,0.0
538,NW,13.61734133419893,10-15km,0,0.0,0.0,0.0
